onset	duration	trial_type	value	sample
5.9664	0.0	right/tone/500	7	7458
7.3672	0.0	left/tone/2500	9	9209
8.7672	0.0	right/tone/2500	11	10959
10.2672	0.0	left/tone/500	5	12834
11.4672	0.0	left/noise	33	14334
12.768	0.0	left/tone/4000	17	15960
14.0688	0.0	right/tone/4000	19	17586
15.5688	0.0	left/tone/2500	9	19461
16.9696	0.0	left/tone/500	5	21212
18.268	0.0	left/noise	33	22835
19.6696	0.0	left/tone/2500	9	24587
20.8696	0.0	left/tone/4000	17	26087
22.0696	0.0	right/tone/500	7	27587
23.3696	0.0	left/tone/2500	9	29212
24.8688	0.0	left/tone/500	5	31086
26.2688	0.0	right/tone/2500	11	32836
27.5704	0.0	left/noise	33	34463
28.8704	0.0	left/tone/2500	9	36088
30.172	0.0	left/tone/4000	17	37715
31.4712	0.0	right/tone/500	7	39339
32.772	0.0	right/tone/4000	19	40965
33.9744	0.0	left/tone/500	5	42468
35.3728	0.0	right/tone/4000	19	44216
36.7728	0.0	right/noise	35	45966
38.2736	0.0	right/tone/4000	19	47842
39.7744	0.0	left/tone/2500	9	49718
41.0744	0.0	left/tone/2500	9	51343
42.3752	0.0	right/tone/4000	19	52969
43.6752	0.0	right/tone/2500	11	54594
44.8752	0.0	right/tone/2500	11	56094
46.0752	0.0	right/tone/2500	11	57594
47.2752	0.0	left/tone/4000	17	59094
48.7768	0.0	right/tone/2500	11	60971
50.276	0.0	right/tone/2500	11	62845
51.476	0.0	left/tone/4000	17	64345
52.6776	0.0	left/tone/500	5	65847
54.176	0.0	right/tone/4000	19	67720
55.4776	0.0	left/noise	33	69347
56.976	0.0	right/tone/4000	19	71220
58.4776	0.0	left/tone/4000	17	73097
59.8776	0.0	right/noise	35	74847
61.3792	0.0	right/tone/2500	11	76724
62.8792	0.0	right/tone/4000	19	78599
64.2776	0.0	right/tone/4000	19	80347
65.7792	0.0	right/tone/2500	11	82224
67.28	0.0	right/tone/4000	19	84100
68.7784	0.0	right/noise	35	85973
70.08	0.0	right/tone/4000	19	87600
71.48	0.0	right/noise	35	89350
72.7792	0.0	right/noise	35	90974
79.5808	0.0	left/tone/2500	9	99476
80.9808	0.0	right/tone/4000	19	101226
82.4816	0.0	left/noise	33	103102
83.7816	0.0	left/tone/500	5	104727
85.2808	0.0	right/noise	35	106601
86.7816	0.0	left/noise	33	108477
88.0816	0.0	left/tone/4000	17	110102
89.5824	0.0	right/tone/4000	19	111978
91.0832	0.0	left/noise	33	113854
92.4824	0.0	right/tone/2500	11	115603
93.8824	0.0	left/noise	33	117353
95.0824	0.0	left/tone/4000	17	118853
96.4824	0.0	right/noise	35	120603
97.7832	0.0	left/noise	33	122229
99.0824	0.0	right/tone/500	7	123853
100.584	0.0	left/tone/2500	9	125730
101.784	0.0	right/tone/500	7	127230
103.1824	0.0	left/tone/500	5	128978
104.484	0.0	left/noise	33	130605
105.9832	0.0	right/tone/500	7	132479
107.284	0.0	left/tone/2500	9	134105
108.7832	0.0	right/tone/500	7	135979
109.984	0.0	right/tone/2500	11	137480
111.2848	0.0	left/tone/500	5	139106
112.784	0.0	left/tone/2500	9	140980
114.2848	0.0	left/noise	33	142856
115.484	0.0	right/tone/4000	19	144355
116.684	0.0	right/tone/500	7	145855
118.1856	0.0	left/noise	33	147732
119.5856	0.0	right/tone/4000	19	149482
120.9856	0.0	right/noise	35	151232
122.3856	0.0	right/tone/4000	19	152982
123.8848	0.0	right/tone/4000	19	154856
125.3864	0.0	left/noise	33	156733
126.7864	0.0	left/tone/4000	17	158483
127.988	0.0	right/tone/4000	19	159985
129.3872	0.0	left/tone/4000	17	161734
130.888	0.0	right/tone/500	7	163610
132.188	0.0	left/noise	33	165235
133.4896	0.0	right/noise	35	166862
134.988	0.0	left/tone/2500	9	168735
136.3888	0.0	right/tone/2500	11	170486
137.5896	0.0	left/tone/500	5	171987
139.0888	0.0	left/tone/2500	9	173861
140.5896	0.0	left/noise	33	175737
141.9912	0.0	right/tone/500	7	177489
143.3904	0.0	left/tone/4000	17	179238
144.892	0.0	left/tone/4000	17	181115
146.192	0.0	right/tone/500	7	182740
147.4928	0.0	left/noise	33	184366
154.3928	0.0	left/tone/2500	9	192991
155.7928	0.0	left/noise	33	194741
156.9936	0.0	right/noise	35	196242
158.1944	0.0	right/noise	35	197743
159.6928	0.0	left/tone/500	5	199616
161.0928	0.0	right/tone/500	7	201366
162.2944	0.0	right/noise	35	202868
163.5944	0.0	left/tone/500	5	204493
164.7952	0.0	left/tone/500	5	205994
166.296	0.0	left/tone/2500	9	207870
167.4968	0.0	right/tone/2500	11	209371
168.9952	0.0	left/tone/500	5	211244
170.1968	0.0	right/noise	35	212746
171.496	0.0	left/tone/500	5	214370
172.6968	0.0	right/tone/500	7	215871
174.1984	0.0	left/tone/2500	9	217748
175.6976	0.0	left/tone/500	5	219622
177.1976	0.0	left/tone/2500	9	221497
178.5984	0.0	left/tone/500	5	223248
179.9984	0.0	right/noise	35	224998
181.3984	0.0	right/tone/2500	11	226748
182.5992	0.0	left/tone/4000	17	228249
184.0992	0.0	right/tone/4000	19	230124
185.2992	0.0	left/tone/4000	17	231624
186.8008	0.0	left/noise	33	233501
187.9992	0.0	right/tone/2500	11	234999
189.2024	0.0	right/tone/4000	19	236503
190.5016	0.0	left/noise	33	238127
191.9016	0.0	right/tone/4000	19	239877
193.3008	0.0	left/tone/500	5	241626
194.7016	0.0	left/noise	33	243377
196.0016	0.0	left/tone/500	5	245002
197.3016	0.0	left/noise	33	246627
198.6024	0.0	left/tone/500	5	248253
200.0024	0.0	right/tone/4000	19	250003
201.2032	0.0	left/noise	33	251504
202.4032	0.0	right/noise	35	253004
203.8032	0.0	right/noise	35	254754
205.004	0.0	right/noise	35	256255
206.3032	0.0	left/tone/2500	9	257879
207.6048	0.0	right/noise	35	259506
209.104	0.0	right/tone/2500	11	261380
210.6048	0.0	left/noise	33	263256
211.8048	0.0	left/tone/4000	17	264756
213.104	0.0	right/tone/2500	11	266380
214.6056	0.0	left/noise	33	268257
215.9056	0.0	right/tone/500	7	269882
217.4072	0.0	right/tone/4000	19	271759
218.8072	0.0	left/tone/500	5	273509
220.108	0.0	right/tone/2500	11	275135
227.1088	0.0	left/tone/2500	9	283886
228.308	0.0	left/tone/4000	17	285385
229.608	0.0	left/tone/4000	17	287010
231.008	0.0	left/noise	33	288760
232.4096	0.0	right/noise	35	290512
233.7088	0.0	left/tone/4000	17	292136
235.1096	0.0	left/tone/500	5	293887
236.5088	0.0	left/tone/4000	17	295636
237.9096	0.0	right/noise	35	297387
239.1096	0.0	right/tone/500	7	298887
240.6088	0.0	right/tone/2500	11	300761
242.0096	0.0	left/noise	33	302512
243.4096	0.0	right/tone/4000	19	304262
244.7104	0.0	right/tone/2500	11	305888
245.9104	0.0	left/tone/2500	9	307388
247.1112	0.0	right/tone/4000	19	308889
248.312	0.0	left/noise	33	310390
249.7128	0.0	right/noise	35	312141
251.2112	0.0	left/tone/2500	9	314014
252.612	0.0	left/tone/4000	17	315765
253.812	0.0	left/tone/2500	9	317265
255.212	0.0	right/tone/500	7	319015
256.5136	0.0	left/tone/2500	9	320642
257.8136	0.0	right/tone/2500	11	322267
259.1128	0.0	right/tone/4000	19	323891
260.4144	0.0	left/tone/500	5	325518
261.9128	0.0	left/noise	33	327391
263.2144	0.0	left/noise	33	329018
264.5144	0.0	right/noise	35	330643
265.7152	0.0	left/tone/2500	9	332144
267.0152	0.0	right/tone/500	7	333769
268.316	0.0	right/tone/500	7	335395
269.816	0.0	left/tone/4000	17	337270
271.3168	0.0	right/noise	35	339146
272.6184	0.0	left/tone/2500	9	340773
274.1168	0.0	right/tone/2500	11	342646
275.6184	0.0	left/noise	33	344523
277.0184	0.0	right/tone/4000	19	346273
278.4184	0.0	left/noise	33	348023
279.6176	0.0	right/tone/2500	11	349522
281.1184	0.0	right/tone/4000	19	351398
282.6192	0.0	right/tone/2500	11	353274
284.1176	0.0	right/tone/4000	19	355147
285.4192	0.0	right/noise	35	356774
286.82	0.0	left/tone/4000	17	358525
288.3184	0.0	right/tone/500	7	360398
289.5192	0.0	left/tone/4000	17	361899
290.7208	0.0	left/tone/2500	9	363401
291.92	0.0	right/tone/2500	11	364900
293.3208	0.0	right/tone/4000	19	366651
300.0208	0.0	left/tone/2500	9	375026
301.4216	0.0	right/tone/500	7	376777
302.6216	0.0	left/noise	33	378277
303.8216	0.0	right/tone/4000	19	379777
305.0224	0.0	left/tone/500	5	381278
306.4224	0.0	left/tone/4000	17	383028
307.7216	0.0	right/tone/500	7	384652
308.9232	0.0	right/tone/500	7	386154
310.1232	0.0	right/tone/500	7	387654
311.624	0.0	right/noise	35	389530
312.8232	0.0	left/tone/2500	9	391029
314.3248	0.0	left/tone/4000	17	392906
315.5232	0.0	left/tone/500	5	394404
316.8248	0.0	right/tone/500	7	396031
318.2248	0.0	left/tone/4000	17	397781
319.724	0.0	right/noise	35	399655
320.9256	0.0	right/noise	35	401157
322.1248	0.0	right/noise	35	402656
323.624	0.0	right/tone/500	7	404530
325.0264	0.0	right/tone/2500	11	406283
326.2248	0.0	left/tone/2500	9	407781
327.6248	0.0	right/tone/500	7	409531
329.0248	0.0	right/tone/2500	11	411281
330.3248	0.0	left/tone/2500	9	412906
331.8256	0.0	right/noise	35	414782
333.2256	0.0	left/tone/4000	17	416532
334.7264	0.0	right/noise	35	418408
336.0256	0.0	left/tone/500	5	420032
337.2264	0.0	right/tone/2500	11	421533
338.7256	0.0	right/noise	35	423407
340.1256	0.0	left/tone/2500	9	425157
341.6264	0.0	right/noise	35	427033
343.1272	0.0	right/tone/2500	11	428909
344.4272	0.0	left/tone/2500	9	430534
345.8264	0.0	left/tone/2500	9	432283
347.2272	0.0	left/tone/4000	17	434034
348.6272	0.0	right/tone/4000	19	435784
349.9288	0.0	right/tone/4000	19	437411
351.3288	0.0	right/tone/2500	11	439161
352.6288	0.0	left/tone/4000	17	440786
354.128	0.0	left/tone/4000	17	442660
355.528	0.0	left/tone/2500	9	444410
356.8288	0.0	right/tone/2500	11	446036
358.2288	0.0	left/tone/2500	9	447786
359.528	0.0	left/noise	33	449410
360.7296	0.0	right/tone/2500	11	450912
362.228	0.0	right/tone/4000	19	452785
363.7288	0.0	right/tone/2500	11	454661
364.9304	0.0	left/tone/2500	9	456163
366.1304	0.0	right/tone/2500	11	457663
372.9304	0.0	left/tone/500	5	466163
374.2312	0.0	left/tone/2500	9	467789
375.7312	0.0	right/tone/2500	11	469664
